tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
136773,27.9.b.2,Portugese Waters - West Non-NEAFC regulatory Area,358,ICES_Area,08/01/2013,21/01/2022,FALSE
227837,31,Atlantic Western Central,358,ICES_Area,19/05/2020,22/12/2021,FALSE
139556,34,Atlantic Eastern Central,358,ICES_Area,26/02/2014,22/12/2021,FALSE
251053,34.1.1,Morocco Coastal,358,ICES_Area,05/05/2022,05/05/2022,FALSE
251054,34.1.2,Canaries/Madeira Insular,358,ICES_Area,05/05/2022,05/05/2022,FALSE
251055,34.1.3,Sahara Coastal,358,ICES_Area,05/05/2022,05/05/2022,FALSE
200380,37,Mediterranean and Black Sea,358,ICES_Area,19/08/2019,22/12/2021,FALSE
232168,37.2.1,Adriatic Sea,358,ICES_Area,10/03/2021,22/12/2021,FALSE
229486,37.3.2,Levant Sea,358,ICES_Area,05/10/2020,22/12/2021,FALSE
227838,41,Atlantic Southwest,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227839,47,Atlantic Southeast,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227840,48,Atlantic Antarctic,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227841,51,Indian Ocean Western,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227842,57,Indian Ocean Eastern,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227843,58,Indian Ocean Antarctic and Southern,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227844,61,Pacific Northwest,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227845,67,Pacific Northeast,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227846,71,Pacific Western Central,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227847,77,Pacific Eastern Central,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227848,81,Pacific Southwest,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227849,87,Pacific Southeast,358,ICES_Area,19/05/2020,22/12/2021,FALSE
227850,88,Pacific Antarctic,358,ICES_Area,19/05/2020,22/12/2021,FALSE
